N 100 ave_t_min 37 over 100 samples perceptron_overlap_SAT -20 counter 2
N 100 ave_t_min 37 over 100 samples perceptron_overlap_SAT -16 counter 4
N 100 ave_t_min 37 over 100 samples perceptron_overlap_SAT -14 counter 3
N 100 ave_t_min 37 over 100 samples perceptron_overlap_SAT -12 counter 5
N 100 ave_t_min 37 over 100 samples perceptron_overlap_SAT -10 counter 2
N 100 ave_t_min 37 over 100 samples perceptron_overlap_SAT -8 counter 4
N 100 ave_t_min 37 over 100 samples perceptron_overlap_SAT -6 counter 7
N 100 ave_t_min 37 over 100 samples perceptron_overlap_SAT -4 counter 7
N 100 ave_t_min 37 over 100 samples perceptron_overlap_SAT -2 counter 3
N 100 ave_t_min 37 over 100 samples perceptron_overlap_SAT 0 counter 6
N 100 ave_t_min 37 over 100 samples perceptron_overlap_SAT 2 counter 4
N 100 ave_t_min 37 over 100 samples perceptron_overlap_SAT 4 counter 2
N 100 ave_t_min 37 over 100 samples perceptron_overlap_SAT 6 counter 7
N 100 ave_t_min 37 over 100 samples perceptron_overlap_SAT 8 counter 3
N 100 ave_t_min 37 over 100 samples perceptron_overlap_SAT 10 counter 5
N 100 ave_t_min 37 over 100 samples perceptron_overlap_SAT 12 counter 6
N 100 ave_t_min 37 over 100 samples perceptron_overlap_SAT 14 counter 4
N 100 ave_t_min 37 over 100 samples perceptron_overlap_SAT 16 counter 6
N 100 ave_t_min 37 over 100 samples perceptron_overlap_SAT 18 counter 2
N 100 ave_t_min 37 over 100 samples perceptron_overlap_SAT 22 counter 3
N 100 ave_t_min 37 over 100 samples perceptron_overlap_SAT 24 counter 6
N 100 ave_t_min 37 over 100 samples perceptron_overlap_SAT 26 counter 1
N 100 ave_t_min 37 over 100 samples perceptron_overlap_SAT 28 counter 2
N 100 ave_t_min 37 over 100 samples perceptron_overlap_SAT 30 counter 1
N 100 ave_t_min 37 over 100 samples perceptron_overlap_SAT 32 counter 2
N 100 ave_t_min 37 over 100 samples perceptron_overlap_UNSAT -36 counter 1
N 100 ave_t_min 37 over 100 samples perceptron_overlap_UNSAT -30 counter 2
N 100 ave_t_min 37 over 100 samples perceptron_overlap_UNSAT -28 counter 2
N 100 ave_t_min 37 over 100 samples perceptron_overlap_UNSAT -24 counter 1
N 100 ave_t_min 37 over 100 samples perceptron_overlap_UNSAT -22 counter 2
N 100 ave_t_min 37 over 100 samples perceptron_overlap_UNSAT -20 counter 2
N 100 ave_t_min 37 over 100 samples perceptron_overlap_UNSAT -18 counter 5
N 100 ave_t_min 37 over 100 samples perceptron_overlap_UNSAT -16 counter 4
N 100 ave_t_min 37 over 100 samples perceptron_overlap_UNSAT -14 counter 5
N 100 ave_t_min 37 over 100 samples perceptron_overlap_UNSAT -12 counter 4
N 100 ave_t_min 37 over 100 samples perceptron_overlap_UNSAT -10 counter 4
N 100 ave_t_min 37 over 100 samples perceptron_overlap_UNSAT -8 counter 4
